;Si;Na;Ca;(BrO3)-;H2O;Pb
5-I;17.61;0.068;67.9;11.324;1.23;134.4
1;21.8;0.112;62.41;12.51;0.12;0
ÃÑÎ 5432;13.52;0.518;60.24;1.464;0.09;3.7
5-I;17.7;0.07;67.59;10.861;1.19;115.1
ÃÑÎ 5432;14.1;0.545;63.19;1.395;0.09;5.2
7;11.27;0.089;59.69;4.972;0.49;3.2
7;10.89;0.088;58.49;50;0.49;2.4
5-I;18.04;0.07;69.38;10.856;1.2;144.7
5-I;17.45;0.067;67.57;11.373;1.23;122.8
ÃÑÎ 5432;14.8;0.2;63.58;1.441;0.09;4.1
1;22.38;0.116;65.05;12.564;0.12;15.8
1;21.21;0.108;63.64;11.894;0.12;16
1;20.88;0.11;61.72;12.376;0.12;18.1
5-I;17.96;0.069;68.15;11.26;1.2;100.4
7;11.36;0.089;60.61;5.152;0.49;2.3
ÃÑÎ 5432;14.05;0.532;60.49;1.368;0.09;4
1;21.1;0.108;59.95;11.961;0.11;11.8
7;11.27;0.088;58.21;5.057;0.49;3.7
